features_string,Churn_index,prediction
"(7,[0,1,2],[4.0,73.9000015258789,295.6000061035156])",1,1
"[71.0,109.69999694824219,7788.7001953125,1.0,1.0,0.0,0.0]",0,0
"[7.0,48.20000076293945,337.3999938964844,1.0,0.0,0.0,0.0]",0,0
"[72.0,101.30000305175781,7293.60009765625,1.0,0.0,0.0,0.0]",0,0
"[1.0,25.100000381469727,25.100000381469727,0.0,0.0,0.0,1.0]",1,0
"[3.0,19.850000381469727,59.54999923706055,1.0,0.0,0.0,0.0]",0,0
"[69.0,19.700000762939453,1359.300048828125,1.0,1.0,1.0,0.0]",0,0
"[43.0,25.100000381469727,1079.300048828125,1.0,0.0,1.0,0.0]",0,0
"[72.0,85.1500015258789,6130.7998046875,0.0,1.0,0.0,0.0]",0,0
"[14.0,51.45000076293945,720.2999877929688,1.0,0.0,0.0,0.0]",0,0
"[35.0,99.25,3473.75,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[29.0,94.19999694824219,2731.800048828125])",0,0
"[39.0,99.94999694824219,3898.050048828125,1.0,1.0,1.0,0.0]",0,0
"[6.0,50.349998474121094,302.1000061035156,1.0,1.0,0.0,0.0]",0,0
"[69.0,116.0,8004.0,1.0,1.0,0.0,0.0]",0,0
"[33.0,107.55000305175781,3549.14990234375,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[15.0,101.3499984741211,1520.25])",1,1
"[3.0,19.950000762939453,59.849998474121094,1.0,0.0,0.0,0.0]",0,0
"[6.0,84.3499984741211,506.1000061035156,1.0,1.0,0.0,0.0]",1,1
"(7,[0,1,2],[25.0,25.299999237060547,632.5])",1,0
"[46.0,19.25,885.5,1.0,1.0,1.0,0.0]",0,0
"[54.0,114.6500015258789,6191.10009765625,1.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[4.0,75.3499984741211,301.3999938964844])",0,1
"(7,[0,1,2],[5.0,47.150001525878906,235.75])",1,0
"[72.0,109.9000015258789,7912.7998046875,1.0,0.0,0.0,0.0]",0,0
"[9.0,72.9000015258789,656.0999755859375,1.0,0.0,1.0,0.0]",1,0
"[16.0,100.69999694824219,1611.199951171875,1.0,1.0,1.0,0.0]",0,1
"[23.0,24.350000381469727,560.0499877929688,0.0,1.0,1.0,0.0]",0,0
"[8.0,54.400001525878906,435.20001220703125,0.0,1.0,1.0,0.0]",0,0
"[52.0,50.20000076293945,2610.39990234375,0.0,1.0,1.0,1.0]",0,0
"[11.0,36.04999923706055,396.54998779296875,1.0,0.0,1.0,1.0]",0,0
"[53.0,99.5,5273.5,1.0,0.0,0.0,0.0]",0,0
"[70.0,97.6500015258789,6835.5,1.0,1.0,0.0,0.0]",0,0
"[72.0,61.20000076293945,4406.39990234375,0.0,0.0,0.0,1.0]",0,0
"[46.0,108.9000015258789,5009.39990234375,1.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[2.0,19.350000381469727,38.70000076293945])",0,0
"[67.0,81.3499984741211,5450.4501953125,0.0,1.0,1.0,0.0]",0,0
"[40.0,62.04999923706055,2482.0,0.0,0.0,0.0,1.0]",0,0
"[2.0,74.4000015258789,148.8000030517578,1.0,1.0,0.0,0.0]",1,1
"[72.0,105.0,7560.0,1.0,1.0,0.0,0.0]",0,0
"[23.0,55.29999923706055,1271.9000244140625,0.0,0.0,1.0,0.0]",0,0
"[59.0,93.8499984741211,5537.14990234375,0.0,1.0,0.0,0.0]",1,0
"(7,[0,1,2],[9.0,49.20000076293945,442.79998779296875])",0,0
"[22.0,87.0,1914.0,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[15.0,49.0,735.0])",0,0
"[67.0,85.25,5711.75,1.0,0.0,0.0,0.0]",0,0
"[62.0,60.150001525878906,3729.300048828125,0.0,1.0,0.0,0.0]",0,0
"[63.0,83.5,5260.5,0.0,1.0,1.0,0.0]",0,0
"[52.0,25.600000381469727,1331.199951171875,0.0,0.0,1.0,0.0]",0,0
"[45.0,102.1500015258789,4596.75,1.0,0.0,0.0,0.0]",0,0
"[1.0,79.69999694824219,79.69999694824219,1.0,0.0,0.0,0.0]",1,1
"[24.0,74.4000015258789,1785.5999755859375,0.0,1.0,0.0,0.0]",0,0
"[46.0,20.200000762939453,929.2000122070312,0.0,1.0,1.0,0.0]",0,0
"[28.0,100.3499984741211,2809.800048828125,0.0,1.0,1.0,0.0]",0,0
"[24.0,79.8499984741211,1916.4000244140625,0.0,1.0,1.0,0.0]",0,0
"[72.0,74.55000305175781,5367.60009765625,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[63.0,104.5,6583.5])",0,0
"[25.0,78.3499984741211,1958.75,1.0,0.0,0.0,0.0]",0,0
"[45.0,78.75,3543.75,0.0,1.0,1.0,0.0]",0,0
"[49.0,75.19999694824219,3684.800048828125,0.0,0.0,1.0,0.0]",1,0
"(7,[0,1,2],[65.0,93.55000305175781,6080.75])",0,0
